   2823 ARSON
 121857 ASSAULT
 254857 BATTERY
  46749 BURGLARY
   1098 CONCEALED CARRY LICENSE VIOLATION
    980 CRIM SEXUAL ASSAULT
 156526 CRIMINAL DAMAGE
   7927 CRIMINAL SEXUAL ASSAULT
  28639 CRIMINAL TRESPASS
 101406 DECEPTIVE PRACTICE
    468 GAMBLING
   4122 HOMICIDE
     55 HUMAN TRAFFICKING
   4175 INTERFERENCE WITH PUBLIC OFFICER
    996 INTIMIDATION
    710 KIDNAPPING
   1104 LIQUOR LAW VIOLATION
  98281 MOTOR VEHICLE THEFT
  45904 NARCOTICS
     20 NON-CRIMINAL
    298 OBSCENITY
  11379 OFFENSE INVOLVING CHILDREN
     31 OTHER NARCOTIC VIOLATION
  87058 OTHER OFFENSE
   1795 PROSTITUTION
     45 PUBLIC INDECENCY
   7235 PUBLIC PEACE VIOLATION
      1 RITUALISM
  51565 ROBBERY
   6993 SEX OFFENSE
   2159 STALKING
 304797 THEFT
  50394 WEAPONS VIOLATION
      1 primary type
